community,community_area,population,category,description,total20,total19,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Riverdale,54,7000,Theft,RETAIL THEFT,0,0,0,0,0,0,1,0,1,1,0.3,NA,NA,0,233,0,0,0,0,0,0,14.3,14.3,4.3
Hegewisch,55,10000,Theft,RETAIL THEFT,7,17,25,24,14,39,49,0,49,102,34,188.2,188.2,0,44,170,70,250,240,140,390,490,490,340
Garfield Ridge,56,35000,Theft,RETAIL THEFT,60,131,60,39,30,31,31,1,30,92,30.7,-76.3,-77.1,-3.2,-2,374.3,171.4,171.4,111.4,85.7,88.6,88.6,85.7,87.7
Archer Heights,57,14000,Theft,RETAIL THEFT,54,70,54,66,101,199,255,4,245,555,185,264.3,250,-3.9,32,500,385.7,385.7,471.4,721.4,1421.4,1821.4,1750,1321.4
Brighton Park,58,45000,Theft,RETAIL THEFT,40,48,38,53,94,82,59,2,59,235,78.3,22.9,22.9,0,-25,106.7,88.9,84.4,117.8,208.9,182.2,131.1,131.1,174
Bridgeport,60,34000,Theft,RETAIL THEFT,9,22,13,15,18,24,36,1,36,78,26,63.6,63.6,0,38,64.7,26.5,38.2,44.1,52.9,70.6,105.9,105.9,76.5
New City,61,44000,Theft,RETAIL THEFT,125,167,74,132,183,183,106,3,102,472,157.3,-36.5,-38.9,-3.8,-35,379.5,284.1,168.2,300,415.9,415.9,240.9,231.8,357.5
West Elsdon,62,18000,Theft,RETAIL THEFT,27,42,26,9,12,27,10,0,8,49,16.3,-76.2,-81,-20,-51,233.3,150,144.4,50,66.7,150,55.6,44.4,90.6
Gage Park,63,40000,Theft,RETAIL THEFT,50,104,65,109,125,171,340,6,339,636,212,226.9,226,-0.3,60,260,125,162.5,272.5,312.5,427.5,850,847.5,530
Clearing,64,24000,Theft,RETAIL THEFT,17,14,8,14,20,13,23,0,22,56,18.7,64.3,57.1,-4.3,18,58.3,70.8,33.3,58.3,83.3,54.2,95.8,91.7,77.9
