community,community_area,population,category,total23,total24,total25,total22,total26,total19,total20,total21,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Greater Grand Crossing,69,31000,Theft Over $500,352,299,267,327,153,226,193,204,233,918,306,18.1,3.1,-12.7,-24,729,622.6,658.1,1054.8,1135.5,964.5,861.3,751.6,987.1
Lincoln Park,7,70000,Theft Over $500,588,529,415,536,244,661,350,385,356,1532,510.7,-37.2,-46.1,-14.2,-30,944.3,500,550,765.7,840,755.7,592.9,508.6,729.6
Ashburn,70,41000,Theft Over $500,189,137,97,174,67,105,126,99,97,423,141,-7.6,-7.6,0,-31,256.1,307.3,241.5,424.4,461,334.1,236.6,236.6,343.9
Auburn Gresham,71,45000,Theft Over $500,359,313,271,369,204,256,255,276,271,943,314.3,5.9,5.9,0,-14,568.9,566.7,613.3,820,797.8,695.6,602.2,602.2,698.4
Beverly,72,20000,Theft Over $500,75,85,64,84,30,59,48,51,47,224,74.7,8.5,-20.3,-26.6,-37,295,240,255,420,375,425,320,235,373.5
Washington Heights,73,25000,Theft Over $500,180,164,132,200,76,163,113,101,112,476,158.7,-19,-31.3,-15.2,-29,652,452,404,800,720,656,528,448,634.8
Mount Greenwood,74,19000,Theft Over $500,39,46,36,53,16,27,21,26,33,121,40.3,33.3,22.2,-8.3,-18,142.1,110.5,136.8,278.9,205.3,242.1,189.5,173.7,212.1
Morgan Park,75,21000,Theft Over $500,137,105,105,133,71,97,64,97,107,347,115.7,8.2,10.3,1.9,-8,461.9,304.8,461.9,633.3,652.4,500,500,509.5,551
Ohare,76,13000,Theft Over $500,309,276,238,294,125,187,116,197,177,823,274.3,27.3,-5.3,-25.6,-35,1438.5,892.3,1515.4,2261.5,2376.9,2123.1,1830.8,1361.5,2110
Edgewater,77,56000,Theft Over $500,309,278,204,323,119,127,142,181,167,791,263.7,60.6,31.5,-18.1,-37,226.8,253.6,323.2,576.8,551.8,496.4,364.3,298.2,470.9
Edison Park,9,12000,Theft Over $500,27,38,13,24,2,13,20,18,6,78,26,0,-53.8,-53.8,-77,108.3,166.7,150,200,225,316.7,108.3,50,216.7
NA,0,NA,Theft Over $500,4,2,3,1,4,0,0,0,5,9,3,NA,NA,66.7,67,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Unknown,NA,Theft Over $500,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
