community,community_area,population,category,total19,total20,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Archer Heights,57,14000,Robbery,11,29,32,32,57,38,25,10,20,120,40,127.3,81.8,-20,-50,78.6,207.1,228.6,228.6,407.1,271.4,178.6,142.9,285.7
Brighton Park,58,45000,Robbery,63,60,61,113,164,82,37,21,41,283,94.3,-41.3,-34.9,10.8,-57,140,133.3,135.6,251.1,364.4,182.2,82.2,91.1,209.6
Bridgeport,60,34000,Robbery,18,40,59,50,62,47,26,11,24,135,45,44.4,33.3,-7.7,-47,52.9,117.6,173.5,147.1,182.4,138.2,76.5,70.6,132.4
New City,61,44000,Robbery,123,123,125,195,283,237,109,54,98,629,209.7,-11.4,-20.3,-10.1,-53,279.5,279.5,284.1,443.2,643.2,538.6,247.7,222.7,476.6
West Elsdon,62,18000,Robbery,26,33,34,32,34,50,26,2,17,110,36.7,0,-34.6,-34.6,-54,144.4,183.3,188.9,177.8,188.9,277.8,144.4,94.4,203.9
Gage Park,63,40000,Robbery,98,68,65,99,110,128,58,33,56,296,98.7,-40.8,-42.9,-3.4,-43,245,170,162.5,247.5,275,320,145,140,246.8
Clearing,64,24000,Robbery,13,22,19,18,17,19,11,2,8,47,15.7,-15.4,-38.5,-27.3,-49,54.2,91.7,79.2,75,70.8,79.2,45.8,33.3,65.4
West Lawn,65,34000,Robbery,50,42,41,65,39,42,33,13,25,114,38,-34,-50,-24.2,-34,147.1,123.5,120.6,191.2,114.7,123.5,97.1,73.5,111.8
Chicago Lawn,66,56000,Robbery,228,188,177,226,183,195,124,61,106,502,167.3,-45.6,-53.5,-14.5,-37,407.1,335.7,316.1,403.6,326.8,348.2,221.4,189.3,298.8
West Englewood,67,30000,Robbery,213,235,148,224,181,213,117,59,111,511,170.3,-45.1,-47.9,-5.1,-35,710,783.3,493.3,746.7,603.3,710,390,370,567.7
