community,community_area,population,total19,total20,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Albany Park,14,48000,1,2,0,4,2,7,3,2,3,12,4,200,200,0,-25,2.1,4.2,0,8.3,4.2,14.6,6.2,6.2,8.3
Portage Park,15,63000,0,0,2,0,1,3,2,0,1,6,2,NA,NA,-50,-50,0,0,3.2,0,1.6,4.8,3.2,1.6,3.2
Irving Park,16,52000,2,3,5,6,7,7,7,3,7,21,7,250,250,0,0,3.8,5.8,9.6,11.5,13.5,13.5,13.5,13.5,13.5
Dunning,17,43000,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,2.3,0,0,0,0,0,0,0
Montclare,18,14000,0,0,0,0,0,0,1,0,0,1,0.3,NA,NA,-100,-100,0,0,0,0,0,0,7.1,0,2.1
Belmont Cragin,19,78000,0,0,0,0,1,0,1,1,2,2,0.7,NA,NA,100,186,0,0,0,0,1.3,0,1.3,2.6,0.9
West Ridge,2,77000,0,0,1,1,2,0,0,0,0,2,0.7,NA,NA,NA,-100,0,0,1.3,1.3,2.6,0,0,0,0.9
Hermosa,20,24000,1,1,0,0,0,2,2,0,1,4,1.3,100,0,-50,-23,4.2,4.2,0,0,0,8.3,8.3,4.2,5.4
Avondale,21,36000,3,1,4,3,6,1,1,1,1,8,2.7,-66.7,-66.7,0,-63,8.3,2.8,11.1,8.3,16.7,2.8,2.8,2.8,7.5
Logan Square,22,72000,8,6,13,6,10,6,12,1,10,28,9.3,50,25,-16.7,8,11.1,8.3,18.1,8.3,13.9,8.3,16.7,13.9,12.9
Humboldt Park,23,54000,5,6,5,2,5,8,4,1,4,17,5.7,-20,-20,0,-30,9.3,11.1,9.3,3.7,9.3,14.8,7.4,7.4,10.6
West Town,24,88000,10,7,10,14,11,10,17,9,23,38,12.7,70,130,35.3,81,11.4,8,11.4,15.9,12.5,11.4,19.3,26.1,14.4
Austin,25,97000,40,23,50,35,35,40,30,13,35,105,35,-25,-12.5,16.7,0,41.2,23.7,51.5,36.1,36.1,41.2,30.9,36.1,36.1
West Garfield Park,26,17000,20,28,17,22,16,17,17,4,19,50,16.7,-15,-5,11.8,14,117.6,164.7,100,129.4,94.1,100,100,111.8,98.2
East Garfield Park,27,20000,29,10,21,17,23,22,16,5,12,61,20.3,-44.8,-58.6,-25,-41,145,50,105,85,115,110,80,60,101.5
Near West Side,28,68000,41,35,34,37,27,53,51,11,53,131,43.7,24.4,29.3,3.9,21,60.3,51.5,50,54.4,39.7,77.9,75,77.9,64.3
North Lawndale,29,35000,31,11,10,11,10,11,14,4,15,35,11.7,-54.8,-51.6,7.1,28,88.6,31.4,28.6,31.4,28.6,31.4,40,42.9,33.4
Uptown,3,57000,9,17,12,9,15,18,11,2,10,44,14.7,22.2,11.1,-9.1,-32,15.8,29.8,21.1,15.8,26.3,31.6,19.3,17.5,25.8
South Lawndale,30,71000,4,3,1,2,1,1,3,2,4,5,1.7,-25,0,33.3,135,5.6,4.2,1.4,2.8,1.4,1.4,4.2,5.6,2.4
Lower West Side,31,34000,5,4,1,4,6,6,2,4,6,14,4.7,-60,20,200,28,14.7,11.8,2.9,11.8,17.6,17.6,5.9,17.6,13.8
Near South Side,33,29000,4,3,7,8,4,5,2,2,4,11,3.7,-50,0,100,8,13.8,10.3,24.1,27.6,13.8,17.2,6.9,13.8,12.8
Armour Square,34,14000,27,12,17,30,26,34,49,9,45,109,36.3,81.5,66.7,-8.2,24,192.9,85.7,121.4,214.3,185.7,242.9,350,321.4,259.3
Norwood Park,10,38000,4,1,7,2,1,5,4,2,6,10,3.3,0,50,50,82,10.5,2.6,18.4,5.3,2.6,13.2,10.5,15.8,8.7
Near North Side,8,105000,43,35,34,47,34,39,27,9,31,100,33.3,-37.2,-27.9,14.8,-7,41,33.3,32.4,44.8,32.4,37.1,25.7,29.5,31.7
Loop,32,42000,84,80,114,120,114,82,95,18,85,291,97,13.1,1.2,-10.5,-12,200,190.5,271.4,285.7,271.4,195.2,226.2,202.4,231
South Shore,43,54000,9,4,6,5,6,5,10,1,9,21,7,11.1,0,-10,29,16.7,7.4,11.1,9.3,11.1,9.3,18.5,16.7,13
Chatham,44,32000,31,22,16,26,29,50,42,7,38,121,40.3,35.5,22.6,-9.5,-6,96.9,68.8,50,81.2,90.6,156.2,131.2,118.8,125.9
Avalon Park,45,9000,0,1,1,2,0,2,1,0,1,3,1,NA,NA,0,0,0,11.1,11.1,22.2,0,22.2,11.1,11.1,11.1
South Chicago,46,27000,2,2,3,4,2,3,6,1,5,11,3.7,200,150,-16.7,35,7.4,7.4,11.1,14.8,7.4,11.1,22.2,18.5,13.7
Burnside,47,3000,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,33.3,0,0,0,0,0,0
Mckinley Park,59,16000,1,1,1,1,1,3,2,1,2,6,2,100,100,0,0,6.2,6.2,6.2,6.2,6.2,18.8,12.5,12.5,12.5
Lake View,6,103000,16,16,30,24,18,23,20,6,20,61,20.3,25,25,0,-1,15.5,15.5,29.1,23.3,17.5,22.3,19.4,19.4,19.7
Calumet Heights,48,13000,0,0,0,0,1,1,1,1,2,3,1,NA,NA,100,100,0,0,0,0,7.7,7.7,7.7,15.4,7.7
Roseland,49,39000,10,10,16,27,24,24,27,4,24,75,25,170,140,-11.1,-4,25.6,25.6,41,69.2,61.5,61.5,69.2,61.5,64.1
North Center,5,35000,4,1,0,2,1,2,1,0,1,4,1.3,-75,-75,0,-23,11.4,2.9,0,5.7,2.9,5.7,2.9,2.9,3.7
Pullman,50,7000,1,1,0,0,3,2,3,0,2,8,2.7,200,100,-33.3,-26,14.3,14.3,0,0,42.9,28.6,42.9,28.6,38.6
South Deering,51,14000,0,2,1,0,3,1,2,0,1,6,2,NA,NA,-50,-50,0,14.3,7.1,0,21.4,7.1,14.3,7.1,14.3
East Side,52,22000,0,0,0,0,0,1,1,0,1,2,0.7,NA,NA,0,43,0,0,0,0,0,4.5,4.5,4.5,3.2
West Pullman,53,26000,2,1,3,2,5,1,1,0,0,7,2.3,-50,-100,-100,-100,7.7,3.8,11.5,7.7,19.2,3.8,3.8,0,8.8
Riverdale,54,7000,0,1,0,1,3,1,0,0,0,4,1.3,NA,NA,NA,-100,0,14.3,0,14.3,42.9,14.3,0,0,18.6
Hegewisch,55,10000,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,10,0,0,0,0,0,0,0
Garfield Ridge,56,35000,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,2.9,2.9,0,0,0,0,0
Archer Heights,57,14000,0,0,0,0,0,1,2,0,2,3,1,NA,NA,0,100,0,0,0,0,0,7.1,14.3,14.3,7.1
Brighton Park,58,45000,0,2,0,1,0,1,2,1,3,3,1,NA,NA,50,200,0,4.4,0,2.2,0,2.2,4.4,6.7,2.2
Bridgeport,60,34000,1,1,1,3,1,5,2,2,3,8,2.7,100,200,50,11,2.9,2.9,2.9,8.8,2.9,14.7,5.9,8.8,7.9
New City,61,44000,3,0,4,2,2,8,4,0,2,14,4.7,33.3,-33.3,-50,-57,6.8,0,9.1,4.5,4.5,18.2,9.1,4.5,10.7
West Elsdon,62,18000,1,0,1,2,2,3,3,0,3,8,2.7,200,200,0,11,5.6,0,5.6,11.1,11.1,16.7,16.7,16.7,15
Gage Park,63,40000,1,5,1,4,4,11,8,1,8,23,7.7,700,700,0,4,2.5,12.5,2.5,10,10,27.5,20,20,19.2
Clearing,64,24000,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,4.2,0,0,0,0,0,0
West Lawn,65,34000,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,2.9,0,0,0,0,0
Chicago Lawn,66,56000,5,8,2,3,4,2,2,1,3,8,2.7,-60,-40,50,11,8.9,14.3,3.6,5.4,7.1,3.6,3.6,5.4,4.8
West Englewood,67,30000,12,5,2,6,7,7,10,0,7,24,8,-16.7,-41.7,-30,-12,40,16.7,6.7,20,23.3,23.3,33.3,23.3,26.7
Englewood,68,24000,21,18,19,21,16,30,33,7,34,79,26.3,57.1,61.9,3,29,87.5,75,79.2,87.5,66.7,125,137.5,141.7,109.6
Greater Grand Crossing,69,31000,20,12,21,24,19,41,32,11,34,92,30.7,60,70,6.2,11,64.5,38.7,67.7,77.4,61.3,132.3,103.2,109.7,99
Lincoln Park,7,70000,12,5,13,17,11,10,12,2,7,33,11,0,-41.7,-41.7,-36,17.1,7.1,18.6,24.3,15.7,14.3,17.1,10,15.7
Ashburn,70,41000,3,2,0,3,2,2,4,0,3,8,2.7,33.3,0,-25,11,7.3,4.9,0,7.3,4.9,4.9,9.8,7.3,6.6
Auburn Gresham,71,45000,3,4,4,5,4,4,3,1,3,11,3.7,0,0,0,-19,6.7,8.9,8.9,11.1,8.9,8.9,6.7,6.7,8.2
Beverly,72,20000,0,0,0,0,1,0,0,0,0,1,0.3,NA,NA,NA,-100,0,0,0,0,5,0,0,0,1.5
Washington Heights,73,25000,2,3,0,1,0,1,0,1,1,1,0.3,-100,-50,NA,233,8,12,0,4,0,4,0,4,1.2
Mount Greenwood,74,19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morgan Park,75,21000,1,2,2,0,0,1,0,0,0,1,0.3,-100,-100,NA,-100,4.8,9.5,9.5,0,0,4.8,0,0,1.4
Ohare,76,13000,6,0,4,7,3,5,9,3,9,17,5.7,50,50,0,58,46.2,0,30.8,53.8,23.1,38.5,69.2,69.2,43.8
Edgewater,77,56000,7,9,12,10,7,17,14,3,13,38,12.7,100,85.7,-7.1,2,12.5,16.1,21.4,17.9,12.5,30.4,25,23.2,22.7
Edison Park,9,12000,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,8.3,0,0,0,0,0
