ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13726778,JJ122609,01/21/2025 04:50:00 PM,036XX W ROSCOE ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,1732,017,30,21,26,1151654,1922367,2025,01/29/2025 03:41:33 PM,41.942854825,-87.718004972,POINT (-87.718004972 41.942854825)
13726829,JJ122641,01/21/2025 04:50:00 PM,047XX S HALSTED ST,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,0933,009,20,61,06,1171764,1873607,2025,01/29/2025 03:41:33 PM,41.808634077,-87.645527495,POINT (-87.645527495 41.808634077)
13727007,JJ122697,01/21/2025 04:45:00 PM,075XX N MILWAUKEE AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,false,false,1611,016,41,9,04B,1127308,1949648,2025,01/29/2025 03:41:33 PM,42.018161366,-87.806873532,POINT (-87.806873532 42.018161366)
13726859,JJ122635,01/21/2025 04:40:00 PM,040XX W 24TH PL,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,1013,010,22,30,15,1149957,1887419,2025,01/29/2025 03:41:33 PM,41.846987151,-87.725152831,POINT (-87.725152831 41.846987151)
13732064,JJ129129,01/21/2025 04:40:00 PM,033XX W MONTROSE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,false,true,1724,017,33,14,08A,1153176,1929041,2025,01/29/2025 03:41:33 PM,41.96113863,-87.712233086,POINT (-87.712233086 41.96113863)
13735127,JJ132827,01/21/2025 04:30:00 PM,028XX N COMMONWEALTH AVE,0810,THEFT,OVER $500,STREET,false,false,1934,019,44,6,06,1173457,1919065,2025,02/01/2025 03:40:37 PM,41.933336576,-87.637967309,POINT (-87.637967309 41.933336576)
13726839,JJ122678,01/21/2025 04:30:00 PM,089XX S BRANDON AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,false,false,0424,004,10,46,03,1198875,1846387,2025,01/29/2025 03:41:33 PM,41.733302365,-87.54700494,POINT (-87.54700494 41.733302365)
13726913,JJ122648,01/21/2025 04:30:00 PM,046XX W DIVERSEY AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",DEPARTMENT STORE,true,false,2521,025,31,20,08B,1144957,1918213,2025,01/29/2025 03:41:33 PM,41.931585146,-87.742725091,POINT (-87.742725091 41.931585146)
13726769,JJ122618,01/21/2025 04:23:00 PM,068XX S ASHLAND AVE,0460,BATTERY,SIMPLE,BARBERSHOP,false,false,0725,007,17,67,08B,1166850,1859459,2025,01/29/2025 03:41:33 PM,41.769916749,-87.663954978,POINT (-87.663954978 41.769916749)
13726824,JJ122634,01/21/2025 04:16:00 PM,082XX S COLFAX AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,RESIDENCE,true,false,0423,004,7,46,20,1194937,1850918,2025,01/29/2025 03:41:33 PM,41.745833629,-87.561282527,POINT (-87.561282527 41.745833629)
13726772,JJ122647,01/21/2025 04:15:00 PM,074XX N CLARK ST,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,true,false,2424,024,49,1,26,1163065,1949329,2025,01/29/2025 03:41:33 PM,42.016607113,-87.675302757,POINT (-87.675302757 42.016607113)
13726855,JJ122739,01/21/2025 04:15:00 PM,022XX N CICERO AVE,0560,ASSAULT,SIMPLE,STREET,false,true,2522,025,26,19,08A,1144032,1914378,2025,01/29/2025 03:41:33 PM,41.92107896,-87.746220847,POINT (-87.746220847 41.92107896)
13726860,JJ122592,01/21/2025 04:15:00 PM,012XX W WASHINGTON BLVD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1224,012,27,28,06,1168440,1900674,2025,01/29/2025 03:41:33 PM,41.882980737,-87.65693728,POINT (-87.65693728 41.882980737)
13726763,JJ122604,01/21/2025 04:13:00 PM,078XX S ESSEX AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0421,004,7,43,08B,1194218,1853548,2025,01/29/2025 03:41:33 PM,41.753068233,-87.563830848,POINT (-87.563830848 41.753068233)
13726872,JJ122586,01/21/2025 04:11:00 PM,077XX S PHILLIPS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0421,004,7,43,08B,1193873,1854099,2025,01/29/2025 03:41:33 PM,41.754588681,-87.565077083,POINT (-87.565077083 41.754588681)
